NO,Tanggal,Kurs
1,1/2/2018 12:00:00 AM,13542
2,1/3/2018 12:00:00 AM,13498
3,1/4/2018 12:00:00 AM,13474
4,1/5/2018 12:00:00 AM,13405
5,1/8/2018 12:00:00 AM,13397
6,1/9/2018 12:00:00 AM,13428
7,1/10/2018 12:00:00 AM,13449
8,1/11/2018 12:00:00 AM,13427
9,1/12/2018 12:00:00 AM,13362
10,1/15/2018 12:00:00 AM,13330
11,1/16/2018 12:00:00 AM,13333
12,1/17/2018 12:00:00 AM,13323
13,1/18/2018 12:00:00 AM,13365
14,1/19/2018 12:00:00 AM,13331
15,1/22/2018 12:00:00 AM,13334
16,1/23/2018 12:00:00 AM,13318
17,1/24/2018 12:00:00 AM,13321
18,1/25/2018 12:00:00 AM,13290
19,1/26/2018 12:00:00 AM,13303
20,1/29/2018 12:00:00 AM,13327
21,1/30/2018 12:00:00 AM,13398
22,1/31/2018 12:00:00 AM,13413
23,2/1/2018 12:00:00 AM,13402
24,2/2/2018 12:00:00 AM,13428
25,2/5/2018 12:00:00 AM,13498
26,2/6/2018 12:00:00 AM,13578
27,2/7/2018 12:00:00 AM,13533
28,2/8/2018 12:00:00 AM,13602
29,2/9/2018 12:00:00 AM,13643
30,2/12/2018 12:00:00 AM,13609
31,2/13/2018 12:00:00 AM,13644
32,2/14/2018 12:00:00 AM,13657
33,2/15/2018 12:00:00 AM,13570
34,2/19/2018 12:00:00 AM,13541
35,2/20/2018 12:00:00 AM,13573
36,2/21/2018 12:00:00 AM,13582
37,2/22/2018 12:00:00 AM,13665
38,2/23/2018 12:00:00 AM,13670
39,2/26/2018 12:00:00 AM,13659
40,2/27/2018 12:00:00 AM,13650
41,2/28/2018 12:00:00 AM,13707
42,3/1/2018 12:00:00 AM,13793
43,3/2/2018 12:00:00 AM,13746
44,3/5/2018 12:00:00 AM,13740
45,3/6/2018 12:00:00 AM,13750
46,3/7/2018 12:00:00 AM,13763
47,3/8/2018 12:00:00 AM,13774
48,3/9/2018 12:00:00 AM,13794
49,3/12/2018 12:00:00 AM,13768
50,3/13/2018 12:00:00 AM,13757
51,3/14/2018 12:00:00 AM,13739
52,3/15/2018 12:00:00 AM,13748
53,3/16/2018 12:00:00 AM,13765
54,3/19/2018 12:00:00 AM,13765
55,3/20/2018 12:00:00 AM,13761
56,3/21/2018 12:00:00 AM,13759
57,3/22/2018 12:00:00 AM,13737
58,3/23/2018 12:00:00 AM,13780
59,3/26/2018 12:00:00 AM,13776
60,3/27/2018 12:00:00 AM,13708
61,3/28/2018 12:00:00 AM,13745
62,3/29/2018 12:00:00 AM,13756
63,4/2/2018 12:00:00 AM,13750
64,4/3/2018 12:00:00 AM,13765
65,4/4/2018 12:00:00 AM,13760
66,4/5/2018 12:00:00 AM,13767
67,4/6/2018 12:00:00 AM,13771
68,4/9/2018 12:00:00 AM,13771
69,4/10/2018 12:00:00 AM,13759
70,4/11/2018 12:00:00 AM,13747
71,4/12/2018 12:00:00 AM,13763
72,4/13/2018 12:00:00 AM,13753
73,4/16/2018 12:00:00 AM,13766
74,4/17/2018 12:00:00 AM,13770
75,4/18/2018 12:00:00 AM,13770
76,4/19/2018 12:00:00 AM,13778
77,4/20/2018 12:00:00 AM,13804
78,4/23/2018 12:00:00 AM,13894
79,4/24/2018 12:00:00 AM,13900
80,4/25/2018 12:00:00 AM,13888
81,4/26/2018 12:00:00 AM,13930
82,4/27/2018 12:00:00 AM,13879
83,4/30/2018 12:00:00 AM,13877
84,5/2/2018 12:00:00 AM,13936
85,5/3/2018 12:00:00 AM,13965
86,5/4/2018 12:00:00 AM,13943
87,5/7/2018 12:00:00 AM,13956
88,5/8/2018 12:00:00 AM,14036
89,5/9/2018 12:00:00 AM,14074
90,5/11/2018 12:00:00 AM,14048
91,5/14/2018 12:00:00 AM,13976
92,5/15/2018 12:00:00 AM,14020
93,5/16/2018 12:00:00 AM,14094
94,5/17/2018 12:00:00 AM,14074
95,5/18/2018 12:00:00 AM,14107
96,5/21/2018 12:00:00 AM,14176
97,5/22/2018 12:00:00 AM,14178
98,5/23/2018 12:00:00 AM,14192
99,5/24/2018 12:00:00 AM,14205
100,5/25/2018 12:00:00 AM,14166
101,5/28/2018 12:00:00 AM,14065
102,5/30/2018 12:00:00 AM,14032
103,5/31/2018 12:00:00 AM,13951
104,6/4/2018 12:00:00 AM,13872
105,6/5/2018 12:00:00 AM,13887
106,6/6/2018 12:00:00 AM,13875
107,6/7/2018 12:00:00 AM,13868
108,6/8/2018 12:00:00 AM,13902
109,6/21/2018 12:00:00 AM,14090
110,6/22/2018 12:00:00 AM,14102
111,6/25/2018 12:00:00 AM,14105
112,6/26/2018 12:00:00 AM,14163
113,6/28/2018 12:00:00 AM,14271
114,6/29/2018 12:00:00 AM,14404
115,7/2/2018 12:00:00 AM,14331
116,7/3/2018 12:00:00 AM,14418
117,7/4/2018 12:00:00 AM,14343
118,7/5/2018 12:00:00 AM,14387
119,7/6/2018 12:00:00 AM,14409
120,7/9/2018 12:00:00 AM,14332
121,7/10/2018 12:00:00 AM,14326
122,7/11/2018 12:00:00 AM,14391
123,7/12/2018 12:00:00 AM,14435
124,7/13/2018 12:00:00 AM,14358
125,7/16/2018 12:00:00 AM,14396
126,7/17/2018 12:00:00 AM,14391
127,7/18/2018 12:00:00 AM,14406
128,7/19/2018 12:00:00 AM,14418
129,7/20/2018 12:00:00 AM,14520
130,7/23/2018 12:00:00 AM,14454
