Minggu,Indeks,Pencarian
2/14/2016,1,0
2/21/2016,2,0
2/28/2016,3,0
3/6/2016,4,0
3/13/2016,5,0
3/20/2016,6,1
3/27/2016,7,0
4/3/2016,8,0
4/10/2016,9,1
4/17/2016,10,0
4/24/2016,11,1
5/1/2016,12,1
5/8/2016,13,1
5/15/2016,14,2
5/22/2016,15,6
5/29/2016,16,19
6/5/2016,17,100
6/12/2016,18,33
6/19/2016,19,18
6/26/2016,20,7
7/3/2016,21,3
7/10/2016,22,1
7/17/2016,23,0
7/24/2016,24,0
7/31/2016,25,0
8/7/2016,26,0
8/14/2016,27,0
8/21/2016,28,1
8/28/2016,29,0
9/4/2016,30,1
9/11/2016,31,0
9/18/2016,32,0
9/25/2016,33,0
10/2/2016,34,0
10/9/2016,35,0
10/16/2016,36,0
10/23/2016,37,0
10/30/2016,38,0
11/6/2016,39,1
11/13/2016,40,0
11/20/2016,41,0
11/27/2016,42,0
12/4/2016,43,0
12/11/2016,44,0
12/18/2016,45,0
12/25/2016,46,0
1/1/2017,47,0
1/8/2017,48,0
1/15/2017,49,0
1/22/2017,50,0
1/29/2017,51,0
2/5/2017,52,0
2/12/2017,53,0
2/19/2017,54,0
2/26/2017,55,0
3/5/2017,56,0
3/12/2017,57,1
3/19/2017,58,0
3/26/2017,59,1
4/2/2017,60,1
4/9/2017,61,0
4/16/2017,62,0
4/23/2017,63,1
4/30/2017,64,3
5/7/2017,65,2
5/14/2017,66,5
5/21/2017,67,56
5/28/2017,68,49
6/4/2017,69,17
6/11/2017,70,12
6/18/2017,71,4
6/25/2017,72,0
7/2/2017,73,0
7/9/2017,74,0
7/16/2017,75,1
7/23/2017,76,0
7/30/2017,77,0
8/6/2017,78,0
8/13/2017,79,0
8/20/2017,80,0
8/27/2017,81,1
9/3/2017,82,0
9/10/2017,83,0
9/17/2017,84,0
9/24/2017,85,0
10/1/2017,86,0
10/8/2017,87,0
10/15/2017,88,0
10/22/2017,89,0
10/29/2017,90,0
11/5/2017,91,0
11/12/2017,92,0
11/19/2017,93,0
11/26/2017,94,0
12/3/2017,95,0
12/10/2017,96,0
12/17/2017,97,0
12/24/2017,98,0
12/31/2017,99,0
1/7/2018,100,0
1/14/2018,101,0
1/21/2018,102,0
1/28/2018,103,0
2/4/2018,104,0
2/11/2018,105,0
2/18/2018,106,0
2/25/2018,107,0
3/4/2018,108,0
3/11/2018,109,0
3/18/2018,110,0
3/25/2018,111,0
4/1/2018,112,1
4/8/2018,113,1
4/15/2018,114,2
4/22/2018,115,3
4/29/2018,116,3
5/6/2018,117,7
5/13/2018,118,97
5/20/2018,119,37
5/27/2018,120,11
6/3/2018,121,7
6/10/2018,122,2
6/17/2018,123,0
6/24/2018,124,0
7/1/2018,125,0
7/8/2018,126,0
7/15/2018,127,0
7/22/2018,128,0
7/29/2018,129,0
8/5/2018,130,0
8/12/2018,131,0
8/19/2018,132,1
8/26/2018,133,0
9/2/2018,134,0
9/9/2018,135,0
9/16/2018,136,1
9/23/2018,137,0
9/30/2018,138,0
10/7/2018,139,0
10/14/2018,140,0
10/21/2018,141,0
10/28/2018,142,1
11/4/2018,143,0
11/11/2018,144,0
11/18/2018,145,0
11/25/2018,146,0
12/2/2018,147,0
12/9/2018,148,0
12/16/2018,149,0
12/23/2018,150,0
12/30/2018,151,0
1/6/2019,152,0
1/13/2019,153,0
1/20/2019,154,0
1/27/2019,155,0
2/3/2019,156,0
2/10/2019,157,0
2/17/2019,158,0
2/24/2019,159,0
3/3/2019,160,1
3/10/2019,161,0
3/17/2019,162,1
3/24/2019,163,0
3/31/2019,164,0
4/7/2019,165,1
4/14/2019,166,1
4/21/2019,167,5
4/28/2019,168,24
5/5/2019,169,81
5/12/2019,170,25
5/19/2019,171,10
5/26/2019,172,4
6/2/2019,173,1
6/9/2019,174,1
6/16/2019,175,0
6/23/2019,176,0
6/30/2019,177,0
7/7/2019,178,0
7/14/2019,179,0
7/21/2019,180,0
7/28/2019,181,0
8/4/2019,182,1
8/11/2019,183,0
8/18/2019,184,0
8/25/2019,185,0
9/1/2019,186,0
9/8/2019,187,0
9/15/2019,188,0
9/22/2019,189,0
9/29/2019,190,1
10/6/2019,191,0
10/13/2019,192,0
10/20/2019,193,0
10/27/2019,194,0
11/3/2019,195,0
11/10/2019,196,0
11/17/2019,197,1
11/24/2019,198,0
12/1/2019,199,0
12/8/2019,200,0
