Tanggal,Indeks,Nilai
5/21/2013,1,9765
5/22/2013,2,9765
5/23/2013,3,9774
5/24/2013,4,9772
5/27/2013,5,9792
5/28/2013,6,9810
5/29/2013,7,9810
5/30/2013,8,9811
5/31/2013,9,9802
6/3/2013,10,9811
6/4/2013,11,9805
6/5/2013,12,9807
6/7/2013,13,9790
6/10/2013,14,9806
6/11/2013,15,9821
6/12/2013,16,9856
6/13/2013,17,9887
6/14/2013,18,9886
6/17/2013,19,9881
6/18/2013,20,9918
6/19/2013,21,9910
6/20/2013,22,9927
6/21/2013,23,9960
6/24/2013,24,9931
6/25/2013,25,9948
6/26/2013,26,9939
6/27/2013,27,9937
6/28/2013,28,9929
7/1/2013,29,9934
7/2/2013,30,9940
7/3/2013,31,9941
7/4/2013,32,9945
7/5/2013,33,9945
7/8/2013,34,9960
7/9/2013,35,9960
7/10/2013,36,9970
7/11/2013,37,9979
7/12/2013,38,9980
7/15/2013,39,10024
7/16/2013,40,10036
7/17/2013,41,10040
7/18/2013,42,10059
7/19/2013,43,10070
7/22/2013,44,10068
7/23/2013,45,10222
7/24/2013,46,10262
7/25/2013,47,10263
7/26/2013,48,10265
7/29/2013,49,10270
7/30/2013,50,10277
7/31/2013,51,10278
8/1/2013,52,10288
8/2/2013,53,10286
8/12/2013,54,10287
8/13/2013,55,10292
8/14/2013,56,10297
8/15/2013,57,10318
8/16/2013,58,10392
8/19/2013,59,10451
8/20/2013,60,10504
8/21/2013,61,10723
8/22/2013,62,10795
8/23/2013,63,10848
8/26/2013,64,10841
8/27/2013,65,10883
8/28/2013,66,10950
8/29/2013,67,10936
8/30/2013,68,10924
9/2/2013,69,10922
9/3/2013,70,10983
9/4/2013,71,11093
9/5/2013,72,11125
9/6/2013,73,11200
9/9/2013,74,11188
9/10/2013,75,11180
9/11/2013,76,11438
9/12/2013,77,11494
9/13/2013,78,11395
9/16/2013,79,11423
9/17/2013,80,11451
9/18/2013,81,11492
9/19/2013,82,11278
9/20/2013,83,11352
9/23/2013,84,11435
9/24/2013,85,11535
9/25/2013,86,11569
9/26/2013,87,11573
9/27/2013,88,11532
9/30/2013,89,11613
10/1/2013,90,11593
10/2/2013,91,11568
10/3/2013,92,11535
10/4/2013,93,11556
10/7/2013,94,11532
10/8/2013,95,11538
10/9/2013,96,11540
10/10/2013,97,11542
10/11/2013,98,11475
10/16/2013,99,11316
10/17/2013,100,11351
10/18/2013,101,11308
10/21/2013,102,11353
10/22/2013,103,11341
10/23/2013,104,11258
10/24/2013,105,11268
10/25/2013,106,11142
10/28/2013,107,11018
10/29/2013,108,11076
10/30/2013,109,11161
10/31/2013,110,11234
11/1/2013,111,11354
11/4/2013,112,11389
11/6/2013,113,11414
11/7/2013,114,11389
11/8/2013,115,11404
11/11/2013,116,11486
11/12/2013,117,11578
11/13/2013,118,11644
11/14/2013,119,11546
11/15/2013,120,11561
11/18/2013,121,11627
11/19/2013,122,11609
11/20/2013,123,11631
11/21/2013,124,11717
11/22/2013,125,11706
11/25/2013,126,11722
11/26/2013,127,11765
11/27/2013,128,11813
11/28/2013,129,11930
11/29/2013,130,11977
12/2/2013,131,11946
12/3/2013,132,11830
12/4/2013,133,11960
12/5/2013,134,12018
12/6/2013,135,11960
12/9/2013,136,11956
12/10/2013,137,11985
12/11/2013,138,12005
12/12/2013,139,12025
12/13/2013,140,12081
12/16/2013,141,12105
12/17/2013,142,12104
12/18/2013,143,12151
12/19/2013,144,12191
12/20/2013,145,12245
12/23/2013,146,12246
12/24/2013,147,12215
12/27/2013,148,12260
12/30/2013,149,12270
12/31/2013,150,12189
1/2/2014,151,12242
1/3/2014,152,12226
1/6/2014,153,12230
1/7/2014,154,12262
1/8/2014,155,12229
1/9/2014,156,12263
1/10/2014,157,12197
1/13/2014,158,12047
1/15/2014,159,12077
1/16/2014,160,12117
1/17/2014,161,12127
1/20/2014,162,12110
1/21/2014,163,12122
1/22/2014,164,12149
1/23/2014,165,12173
1/24/2014,166,12177
1/27/2014,167,12198
1/28/2014,168,12267
1/29/2014,169,12154
1/30/2014,170,12226
2/3/2014,171,12251
2/4/2014,172,12248
2/5/2014,173,12172
2/6/2014,174,12159
2/7/2014,175,12176
2/10/2014,176,12166
2/11/2014,177,12174
2/12/2014,178,12115
2/13/2014,179,12073
2/14/2014,180,11886
2/17/2014,181,11716
2/18/2014,182,11826
2/19/2014,183,11850
2/20/2014,184,11772
2/21/2014,185,11792
2/24/2014,186,11728
2/25/2014,187,11620
2/26/2014,188,11669
2/27/2014,189,11675
2/28/2014,190,11634
3/3/2014,191,11596
3/4/2014,192,11647
3/5/2014,193,11580
3/6/2014,194,11554
3/7/2014,195,11395
3/10/2014,196,11449
3/11/2014,197,11384
3/12/2014,198,11432
3/13/2014,199,11387
3/14/2014,200,11421
3/17/2014,201,11272
3/18/2014,202,11282
3/19/2014,203,11313
3/20/2014,204,11407
3/21/2014,205,11431
3/24/2014,206,11384
3/25/2014,207,11357
3/26/2014,208,11408
3/27/2014,209,11438
3/28/2014,210,11404
4/1/2014,211,11271
4/2/2014,212,11303
4/3/2014,213,11310
4/4/2014,214,11310
4/7/2014,215,11282
4/8/2014,216,11309
4/10/2014,217,11342
4/11/2014,218,11450
4/14/2014,219,11444
4/15/2014,220,11434
4/16/2014,221,11438
4/17/2014,222,11418
4/21/2014,223,11430
4/22/2014,224,11486
4/23/2014,225,11590
4/24/2014,226,11608
4/25/2014,227,11601
4/28/2014,228,11568
4/29/2014,229,11589
4/30/2014,230,11532
5/2/2014,231,11537
5/5/2014,232,11511
5/6/2014,233,11511
5/7/2014,234,11527
5/8/2014,235,11624
5/9/2014,236,11563
5/12/2014,237,11536
5/13/2014,238,11525
5/14/2014,239,11487
5/16/2014,240,11415
5/19/2014,241,11351
5/20/2014,242,11441
5/21/2014,243,11507
5/22/2014,244,11515
5/23/2014,245,11560
5/26/2014,246,11633
5/28/2014,247,11613
5/30/2014,248,11611
6/2/2014,249,11740
6/3/2014,250,11806
6/4/2014,251,11810
6/5/2014,252,11874
6/6/2014,253,11823
6/9/2014,254,11790
6/10/2014,255,11806
6/11/2014,256,11803
6/12/2014,257,11813
6/13/2014,258,11781
6/16/2014,259,11814
6/17/2014,260,11863
6/18/2014,261,11978
6/19/2014,262,11916
6/20/2014,263,11967
6/23/2014,264,11971
6/24/2014,265,12000
6/25/2014,266,12027
6/26/2014,267,12091
6/27/2014,268,12103
6/30/2014,269,11969
7/1/2014,270,11798
7/2/2014,271,11854
7/3/2014,272,11963
7/4/2014,273,11887
7/7/2014,274,11787
7/8/2014,275,11695
7/10/2014,276,11549
7/11/2014,277,11627
7/14/2014,278,11627
7/15/2014,279,11709
7/16/2014,280,11805
7/17/2014,281,11668
7/18/2014,282,11706
7/21/2014,283,11577
7/22/2014,284,11531
7/23/2014,285,11498
7/24/2014,286,11531
7/25/2014,287,11591
8/4/2014,288,11747
8/5/2014,289,11733
8/6/2014,290,11756
8/7/2014,291,11766
8/8/2014,292,11822
8/11/2014,293,11728
8/12/2014,294,11677
8/13/2014,295,11683
8/14/2014,296,11667
8/15/2014,297,11693
8/18/2014,298,11681
8/19/2014,299,11682
8/20/2014,300,11707
8/21/2014,301,11717
8/22/2014,302,11654
8/25/2014,303,11714
8/26/2014,304,11715
8/27/2014,305,11708
8/28/2014,306,11682
8/29/2014,307,11717
9/1/2014,308,11710
9/2/2014,309,11734
9/3/2014,310,11781
9/4/2014,311,11760
9/5/2014,312,11770
9/8/2014,313,11722
9/9/2014,314,11754
9/10/2014,315,11782
9/11/2014,316,11831
9/12/2014,317,11831
9/15/2014,318,11875
9/16/2014,319,11903
9/17/2014,320,11908
9/18/2014,321,12030
9/19/2014,322,11985
9/22/2014,323,11972
9/23/2014,324,11987
9/24/2014,325,11976
9/25/2014,326,11947
9/26/2014,327,12007
9/29/2014,328,12120
9/30/2014,329,12212
10/1/2014,330,12188
10/2/2014,331,12136
10/3/2014,332,12144
10/6/2014,333,12212
10/7/2014,334,12190
10/8/2014,335,12241
10/9/2014,336,12190
10/10/2014,337,12207
10/13/2014,338,12202
10/14/2014,339,12195
10/15/2014,340,12229
10/16/2014,341,12207
10/17/2014,342,12222
10/20/2014,343,12041
10/21/2014,344,11993
10/22/2014,345,12026
10/23/2014,346,12034
10/24/2014,347,12065
