Tahun,Jumlah
1970,70000000
1976,54200000
1978,47200000
1980,42300000
1981,40600000
1984,35000000
1987,30000000
1990,27200000
1993,25900000
1996,22500000
1996,34010000
1998,49500000
1999,47970000
2000,38740000
2001,37870000
2002,38390000
2003,37340000
2004,36150000
2005,35100000
2006,39300000
2007,37168300
2008,34963300
2009,32529970
2010,31023390
2011,30020000
2011,29890000
2011,30018930
2012,29132400
2012,28594640
2013,28066600
2013,28553930
2014,28280010
2014,27727780
2015,28592790
2015,28513570
2016,28005390
2016,27764320
2017,27771220
2017,26582990
2018,25949800
2018,25674580
2019,25144720
2019,24785870
2020,26424020
